1774296913633-0 | STATUS   | Running on node s02
1774296913634-0 | STATUS   | Preparing run
1774296913648-0 | STATUS   | Preparing Hector
1774296913649-0 | STATUS   | Preprocessing Input File
1774296913650-0 | STATUS   | Preprocessing Hector
1774296918263-0 | STATUS   | Running Tool
1774296918263-1 | STATUS   | Running Hector: Mapping
1774296918280-0 | LOG      | HECTOR searched started
1774296918281-0 | LOG      | For map 1 the clusters are being searched...
1774296918282-0 | LOG      | RAM per map allowed: 4.6427591955289245 GB
1774296918282-1 | LOG      | RAM free: 27.41034698486328 GB
1774296920640-0 | LOG      | For map 1 the unique pdb names are searched...
1774296920699-0 | LOG      | For map 2 the clusters are being searched...
1774296923752-0 | LOG      | For map 2 the unique pdb names are searched...
1774296923821-0 | LOG      | Get the intersection of the clusters...
1774296923826-0 | LOG      | Build subject dict for map 1
1774296923827-0 | LOG      | RAM free: 27.412811279296875 GB
1774296923827-1 | LOG      | loading cluster 1... (clstr_0684.npz)
1774296939753-0 | PROGRESS | 3.333333333333333
1774296939753-1 | LOG      | loading cluster 2... (clstr_0779.npz)
1774296986136-0 | PROGRESS | 6.666666666666666
1774296986137-0 | LOG      | loading cluster 3... (clstr_0879.npz)
1774296991763-0 | PROGRESS | 10.0
1774296993177-0 | LOG      | RAM free: 27.40164566040039 GB
1774296993177-1 | LOG      | Build subject dict for map 2
1774296993178-0 | LOG      | loading cluster 1... (clstr_0590.npz)
1774297014136-0 | PROGRESS | 12.0
1774297014136-1 | LOG      | loading cluster 2... (clstr_0569.npz)
1774297029846-0 | PROGRESS | 14.0
1774297029847-0 | LOG      | loading cluster 3... (clstr_0602.npz)
1774297033923-0 | PROGRESS | 16.0
1774297033923-1 | LOG      | loading cluster 4... (clstr_0657.npz)
1774297034075-0 | PROGRESS | 18.0
1774297034075-1 | LOG      | loading cluster 5... (clstr_0928.npz)
1774297034963-0 | PROGRESS | 20.0
1774297037329-0 | LOG      | RAM free: 24.742835998535156 GB
1774297037329-1 | LOG      | mapping the 14445 pdbs we have in common... 
1774297037340-0 | PROGRESS | 21.002422983731396
1774297037351-0 | PROGRESS | 22.00484596746279
1774297037363-0 | PROGRESS | 23.007268951194185
1774297037378-0 | PROGRESS | 24.00969193492558
1774297037397-0 | PROGRESS | 25.012114918656977
1774297037415-0 | PROGRESS | 26.01453790238837
1774297037429-0 | PROGRESS | 27.016960886119765
1774297037449-0 | PROGRESS | 28.01938386985116
1774297037466-0 | PROGRESS | 29.021806853582554
1774297037479-0 | PROGRESS | 30.02422983731395
1774297037495-0 | PROGRESS | 31.026652821045346
1774297037511-0 | PROGRESS | 32.02907580477674
1774297037527-0 | PROGRESS | 33.03149878850813
1774297037546-0 | PROGRESS | 34.03392177223953
1774297037563-0 | PROGRESS | 35.03634475597092
1774297037580-0 | PROGRESS | 36.03876773970232
1774297037593-0 | PROGRESS | 37.041190723433715
1774297037607-0 | PROGRESS | 38.04361370716511
1774297037622-0 | PROGRESS | 39.0460366908965
1774297037637-0 | PROGRESS | 40.0484596746279
1774297037653-0 | PROGRESS | 41.0508826583593
1774297037667-0 | PROGRESS | 42.05330564209069
1774297037686-0 | PROGRESS | 43.055728625822084
1774297037706-0 | PROGRESS | 44.05815160955348
1774297037720-0 | PROGRESS | 45.060574593284876
1774297037741-0 | PROGRESS | 46.06299757701627
1774297037764-0 | PROGRESS | 47.06542056074767
1774297037777-0 | PROGRESS | 48.06784354447906
1774297037789-0 | PROGRESS | 49.07026652821045
1774297037804-0 | PROGRESS | 50.072689511941846
1774297037826-0 | PROGRESS | 51.07511249567324
1774297037844-0 | PROGRESS | 52.07753547940464
1774297037862-0 | PROGRESS | 53.07995846313603
1774297037877-0 | PROGRESS | 54.08238144686743
1774297037890-0 | PROGRESS | 55.08480443059882
1774297037905-0 | PROGRESS | 56.087227414330215
1774297037926-0 | PROGRESS | 57.08965039806161
1774297037945-0 | PROGRESS | 58.09207338179301
1774297037964-0 | PROGRESS | 59.09449636552441
1774297037982-0 | PROGRESS | 60.0969193492558
1774297038005-0 | PROGRESS | 61.09934233298719
1774297038016-0 | PROGRESS | 62.10176531671859
1774297038050-0 | PROGRESS | 63.104188300449984
1774297038067-0 | PROGRESS | 64.10661128418138
1774297038103-0 | PROGRESS | 65.10903426791276
1774297038124-0 | PROGRESS | 66.11145725164417
1774297038142-0 | PROGRESS | 67.11388023537556
1774297038157-0 | PROGRESS | 68.11630321910695
1774297038175-0 | PROGRESS | 69.11872620283836
1774297038196-0 | PROGRESS | 70.12114918656975
1774297038216-0 | PROGRESS | 71.12357217030114
1774297038234-0 | PROGRESS | 72.12599515403254
1774297038254-0 | PROGRESS | 73.12841813776393
1774297038268-0 | PROGRESS | 74.13084112149534
1774297038287-0 | PROGRESS | 75.13326410522671
1774297038302-0 | PROGRESS | 76.13568708895812
1774297038317-0 | PROGRESS | 77.13811007268951
1774297038332-0 | PROGRESS | 78.1405330564209
1774297038346-0 | PROGRESS | 79.1429560401523
1774297038360-0 | PROGRESS | 80.14537902388369
1774297038378-0 | PROGRESS | 81.1478020076151
1774297038401-0 | PROGRESS | 82.15022499134648
1774297038421-0 | PROGRESS | 83.15264797507788
1774297038433-0 | PROGRESS | 84.15507095880928
1774297038457-0 | PROGRESS | 85.15749394254067
1774297038474-0 | PROGRESS | 86.15991692627206
1774297038489-0 | PROGRESS | 87.16233991000347
1774297038508-0 | PROGRESS | 88.16476289373486
1774297038530-0 | PROGRESS | 89.16718587746625
1774297038545-0 | PROGRESS | 90.16960886119764
1774297038563-0 | PROGRESS | 91.17203184492905
1774297038579-0 | PROGRESS | 92.17445482866043
1774297038601-0 | PROGRESS | 93.17687781239184
1774297038615-0 | PROGRESS | 94.17930079612321
1774297038631-0 | PROGRESS | 95.18172377985462
1774297038647-0 | PROGRESS | 96.18414676358601
1774297038667-0 | PROGRESS | 97.1865697473174
1774297038682-0 | PROGRESS | 98.18899273104881
1774297038697-0 | PROGRESS | 99.1914157147802
1774297038900-0 | STATUS   | Running Hector: Filtering
1774297041773-0 | LOG      | Checking the RMSD for 116 hits
1774297041793-0 | LOG      | Docking the hits sorted by RMSD  3 remaining...
1774297049755-0 | PROGRESS | 200.0
1774297049760-0 | STATUS   | Postprocessing Output
1774297049760-1 | STATUS   | Postprocessing Hector output
1774297049762-0 | STATUS   | Transferring Output
1774297049762-1 | LOG      | Transferring files from the worker to the server...
1774297049960-0 | STATUS   | Run finished
