1774375608135-0 | STATUS   | Running on node s02
1774375608135-1 | STATUS   | Preparing run
1774375608147-0 | STATUS   | Preparing Hector
1774375608148-0 | STATUS   | Preprocessing Input File
1774375608148-1 | STATUS   | Preprocessing Hector
1774375616031-0 | STATUS   | Running Tool
1774375616032-0 | STATUS   | Running Hector: Mapping
1774375616044-0 | LOG      | HECTOR searched started
1774375616046-0 | LOG      | For map 1 the clusters are being searched...
1774375616046-1 | LOG      | RAM per map allowed: 3.932982380501926 GB
1774375616046-2 | LOG      | RAM free: 24.74868392944336 GB
1774375616298-0 | LOG      | For map 1 the unique pdb names are searched...
1774375616352-0 | LOG      | For map 2 the clusters are being searched...
1774375616900-0 | LOG      | For map 2 the unique pdb names are searched...
1774375616954-0 | LOG      | Get the intersection of the clusters...
1774375616959-0 | LOG      | Build subject dict for map 1
1774375616960-0 | LOG      | RAM free: 24.74897003173828 GB
1774375616960-1 | LOG      | loading cluster 1... (clstr_0476.npz)
1774375625925-0 | PROGRESS | 2.0
1774375625925-1 | LOG      | loading cluster 2... (clstr_0484.npz)
1774375630794-0 | PROGRESS | 4.0
1774375630795-0 | LOG      | loading cluster 3... (clstr_0401.npz)
1774375633105-0 | PROGRESS | 6.0
1774375633106-0 | LOG      | loading cluster 4... (clstr_0635.npz)
1774375633430-0 | PROGRESS | 8.0
1774375633431-0 | LOG      | loading cluster 5... (clstr_0539.npz)
1774375635281-0 | PROGRESS | 10.0
1774375636444-0 | LOG      | RAM free: 24.748767852783203 GB
1774375636444-1 | LOG      | Build subject dict for map 2
1774375636444-2 | LOG      | loading cluster 1... (clstr_0618.npz)
1774375642114-0 | PROGRESS | 12.5
1774375642114-1 | LOG      | loading cluster 2... (clstr_0109.npz)
1774375649032-0 | PROGRESS | 15.0
1774375649033-0 | LOG      | loading cluster 3... (clstr_0830.npz)
1774375679294-0 | PROGRESS | 17.5
1774375679294-1 | LOG      | loading cluster 4... (clstr_0735.npz)
1774375680016-0 | PROGRESS | 20.0
1774375681195-0 | LOG      | RAM free: 24.84531021118164 GB
1774375681196-0 | LOG      | mapping the 12186 pdbs we have in common... 
1774375681225-0 | PROGRESS | 21.00443131462334
1774375681245-0 | PROGRESS | 22.00886262924668
1774375681275-0 | PROGRESS | 23.013293943870014
1774375681313-0 | PROGRESS | 24.017725258493353
1774375681343-0 | PROGRESS | 25.022156573116693
1774375681385-0 | PROGRESS | 26.02658788774003
1774375681415-0 | PROGRESS | 27.031019202363368
1774375681449-0 | PROGRESS | 28.035450516986707
1774375681489-0 | PROGRESS | 29.039881831610046
1774375681520-0 | PROGRESS | 30.044313146233385
1774375681558-0 | PROGRESS | 31.04874446085672
1774375681598-0 | PROGRESS | 32.05317577548006
1774375681636-0 | PROGRESS | 33.057607090103396
1774375681675-0 | PROGRESS | 34.062038404726735
1774375681710-0 | PROGRESS | 35.066469719350074
